-201, -55
-106, 7
34, 49
44, 13
11, -19
26, -8
16, 6
-16, 6
11, 10
49, 15
18, 3
-22, -16
-21, -10
-22, 16
-18, 17
22, -5
44, -6
17, 12
8, 3
23, -8
6, 15
-14, 18
16, -16
43, -4
13, 51
-9, 35
18, -32
35, -41
3, -5
-21, 7
-3, 33
12, 77
-3, 62
-18, 8
-13, -4
-8, 2
-5, -8
17, 1
41, 26
35, 16
8, -3
-9, 2
-19, -7
-18, -38
-10, -29
-29, 1
-63, -8
-44, -33
16, -18
36, 12
16, 29
12, 30
7, 11
-16, -3
-7, 17
25, 41
6, 30
-23, 17
11, 9
46, -31
2, -67
-53, -46
-47, -19
-27, -37
-26, -43
-16, -8
4, 12
10, 4
-1, 6
-28, 11
-50, -4
-27, -8
11, 13
10, 29
-3, 34
4, 37
-7, 24
-40, 1
-12, -13
46, -22
21, -28
-55, -13
-47, 14
28, 16
49, -2
10, 0
-5, 12
0, 3
-23, -23
-50, -25
-20, 1
25, 28
9, 26
-27, 1
11, -13
78, 0
45, 12
-51, -5
-71, -22
-15, -3
10, 17
2, -4
13, -25
24, -1
5, 11
-2, -25
9, -41
-3, -13
-36, 4
-34, 0
4, 21
26, 30
16, -6
8, -15
10, 27
-2, 26
-14, -20
8, -13
33, 25
0, 3
-47, -38
-33, -24
7, -4
8, -22
-5, -29
3, -16
8, -22
7, -22
31, 1
53, 6
39, -9
28, 0
38, 15
31, 4
10, -3
10, 15
10, 25
-1, 12
10, 2
31, -8
12, -22
-17, -18
-1, -3
29, -5
34, -15
28, -3
16, 16
-12, 23
-34, 27
-28, 32
-11, 29
-1, 16
-8, 17
-30, 34
-31, 33
0, 0
10, -24
-2, -3
14, 31
30, 36
-16, 22
-66, -1
-34, -44
10, -50
0, 23
-8, 89
12, 50
4, -32
-26, -42
-30, 0
-21, 1
-17, -38
11, -48
30, -9
-19, 31
-64, 33
-16, 1
49, -24
29, -25
-27, -6
-25, 14
19, 20
36, 15
2, 25
-33, 44
-17, 34
32, -3
37, -20
0, -2
-1, 10
18, 12
-18, 31
-61, 58
-9, 45
63, 5
35, 1
-23, 22
7, -3
62, -61
43, -51
0, 16
-2, 27
4, -23
3, -42
14, -18
10, -8
-21, 1
-17, 34
17, 29
7, -18
-28, -33
-14, -7
11, 0
-15, -8
-36, -14
-3, -33
22, -32
17, 13
14, 30
3, -19
-17, -45
-3, -10
18, 15
-18, 11
-51, 4
0, -12
53, -9
35, 42
14, 58
31, -8
15, -39
-22, 7
-6, 13
30, -35
18, -30
0, 15
13, 18
6, -2
-31, -11
-34, -17
-2, 5
5, 45
-10, 18
0, -37
32, -10
44, 51
34, 35
20, -6
8, -4
1, -9
6, -26
15, -7
12, 0
2, -32
-1, -20
-3, 45
-7, 68
-2, 45
2, 30
-6, -5
-7, -45
12, -19
17, 23
0, -8
5, -56
27, -31
4, 19
-39, 26
-38, -1
-9, -29
-5, -19
-6, 30
5, 46
-9, 4
-39, -3
-20, 27
25, 4
33, -49
11, -26
5, 34
7, 37
0, 9
1, 10
10, 20
5, 21
-13, 7
-17, -23
-1, -27
7, 19
-1, 32
-7, -14
-5, -21
-11, 24
-15, 16
-6, -27
-8, -4
-28, 37
-18, 0
15, -47
13, -33
-15, -19
-16, -40
-15, -17
-32, 48
-7, 56
47, -4
32, -40
-25, -19
-11, 2
44, 4
50, 13
28, 29
10, 26
-26, 4
-38, -8
8, -9
26, -8
-15, -2
-19, 8
23, 10
16, 4
-19, 9
-9, 22
9, 31
2, 33
8, 24
3, 7
-45, 4
-59, 16
-4, 13
25, -2
5, -1
14, 11
38, 3
12, -15
-23, -15
-20, 6
-14, 22
-23, 23
-10, 20
9, 19
0, 14
-21, 4
-11, 6
14, 13
14, 1
-15, -16
-23, -9
21, 1
56, -14
33, -29
8, -21
17, -7
13, 7
-2, 28
23, 32
52, 7
22, -14
-15, -35
-10, -57
-2, -33
-2, 24
9, 23
-1, -39
-35, -61
-20, -30
12, -9
-21, 0
-59, 14
-20, -3
15, -33
-4, -24
-2, -1
26, 0
2, 3
-28, 2
6, -25
29, -30
-26, 4
-68, -3
-28, -50
25, -34
31, 16
12, 6
1, -20
0, -6
0, -9
-3, -40
9, -27
35, 3
33, 0
0, 15
-18, 56
1, 34
37, -28
64, -16
52, 29
-1, 4
-29, -37
-5, -5
6, 50
-18, 43
-20, -8
0, -45
-12, -40
-35, -8
-12, -1
22, -17
19, -16
-6, 2
-23, -2
-13, -22
13, -24
18, -23
-7, -18
-11, 23
4, 63
-7, 33
-13, -18
28, -17
49, 9
7, 12
-11, 10
10, 16
-3, 2
-32, -2
-12, 26
6, 36
-6, -7
15, -24
46, 21
0, 49
-67, 20
-56, 6
-10, 23
4, 25
10, 27
11, 50
-9, 32
-9, -37
24, -54
34, 3
26, 28
32, -5
21, -11
-3, 16
19, 22
51, 18
6, 36
-46, 45
-17, 29
20, 7
1, -14
-10, -16
11, 17
24, 30
24, -16
18, -52
-10, -18
-23, 24
19, 19
42, -11
-3, -36
-32, -30
-6, 16
-2, 44
-28, -5
-20, -59
-3, -32
-22, 6
-27, -20
20, -45
52, -10
17, 25
-30, 16
-29, 1
7, 6
28, 8
11, -3
-10, -17
-5, -21
10, -18
15, -22
11, -26
1, -16
-10, -1
-6, 3
6, -11
0, -43
-10, -69
-2, -52
1, -14
-9, -14
-1, -15
12, 32
-7, 52
-28, -7
-7, -42
9, 1
5, 22
29, 0
52, 7
7, 10
-42, -27
-5, -14
40, 49
3, 29
-43, -37
-15, -10
29, 37
28, 3
9, 3
20, 79
43, 68
34, -29
-8, -44
-28, 7
-4, -3
0, -28
-43, 5
-53, 22
-3, -6
21, -1
-6, 18
-18, -1
0, -8
7, 24
13, 20
38, -22
44, -10
17, 52
1, 58
14, -1
25, -37
16, -23
3, -10
5, -14
13, -3
-1, 7
-25, -22
-7, -51
31, -10
22, 39
-11, 5
0, -49
16, -30
-15, 13
-33, 6
10, -16
42, -15
3, -15
-52, -12
-57, 12
-9, 21
39, 2
33, -4
-5, -6
0, -35
35, -58
19, -30
-12, 5
14, 15
44, 22
11, 37
-25, 31
-13, 8
7, -5
6, -2
-16, 10
-57, 11
-59, -12
5, -16
43, 19
12, 40
21, 11
78, -19
58, -7
-14, 17
-9, 31
22, 39
-18, 39
-50, 31
-13, 13
-3, -13
-35, -22
-19, 17
14, 69
-5, 63
-20, 17
18, -7
52, -2
55, 10
59, 20
42, 19
-3, 13
-23, 28
-6, 49
3, 26
3, -25
6, -43
-1, -21
-17, 4
-24, 17
-28, 10
-19, -20
17, -41
38, -17
1, 21
-37, 24
-24, 7
1, 4
10, 5
18, -2
17, -6
0, 2
4, 11
28, 9
23, 3
0, -1
9, 2
32, 13
16, 18
-13, 15
-14, 18
-1, 24
2, 18
0, 10
-12, 18
-38, 26
-38, 9
-2, -10
10, -15
-21, -22
-24, -23
20, 2
21, 28
-40, 20
-56, 7
-8, 10
-6, 6
-53, 5
-36, 30
35, 35
60, -14
38, -42
14, -9
-26, 3
-60, -30
-25, -40
22, -9
0, -4
-23, -19
21, -1
57, 25
21, 21
-15, 6
-6, -2
13, -14
23, -21
31, -2
23, 25
6, 28
7, 1
18, -22
23, -10
23, 12
3, -9
-30, -46
-28, -30
9, 4
24, -12
6, -36
0, -10
8, 14
3, 0
-8, -1
-11, 21
-5, 20
14, 16
31, 34
14, 17
-16, -43
-23, -45
-26, 30
-41, 61
-26, 3
25, -43
42, -18
6, 21
-10, 19
26, -1
47, -5
12, 6
-29, 16
-22, 24
-1, 26
-9, 8
-20, -25
2, -38
26, -29
21, -25
21, -27
31, -19
14, -15
-22, -21
-41, -11
-47, 8
-50, 2
-28, -17
2, -21
0, -27
-18, -36
-9, -10
4, 26
-1, 14
-7, -13
-7, 0
-8, 19
-5, -4
0, -20
1, 2
13, 14
30, -9
14, -22
-20, -7
-26, 2
-13, -8
-11, -16
-1, -8
9, 6
-12, 1
-33, -18
-6, -22
12, 2
-4, 17
5, 7
38, 1
25, 18
0, 30
27, 21
45, 8
0, -4
-24, -27
6, -36
8, -12
-19, 7
0, -14
29, -42
-4, -26
-42, -3
-20, -32
6, -63
-8, -32
-16, 15
5, 10
16, -6
2, 12
-11, 12
-13, -20
0, -9
1, 35
-48, 25
-93, -6
-32, 22
60, 37
32, -25
-17, -16
109, 150
270, 260
183, 159
-29, 25
-62, 25
26, 44
18, -15
-27, -46
1, 3
7, 31
-40, 16
-28, 39
10, 79
-28, 67
-48, 41
25, 36
49, 8
-19, -37
-27, -26
26, 14
12, -5
-26, -56
