Sample in Buffer,Sample in Window,TRIGGER,SDUAM_i/system_ila_0/inst/probe0_1[31:0],SDUAM_i/system_ila_0/inst/probe1_1[31:0],SDUAM_i/system_ila_0/inst/probe2_1[31:0],SDUAM_i/system_ila_0/inst/probe3_1[31:0],SDUAM_i/system_ila_0/inst/probe4_1,SDUAM_i/system_ila_0/inst/probe5_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_addr_1[11:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_din_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_dout_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_en_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_rst_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_we_1[3:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_rst_1,SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_din_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_en_1,SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_dout_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_we_1[3:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_addr_1[10:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
42,42,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
43,43,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
44,44,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
45,45,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
46,46,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
47,47,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
48,48,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
49,49,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
50,50,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
51,51,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
52,52,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
53,53,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
54,54,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
55,55,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
56,56,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
57,57,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
58,58,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
59,59,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
60,60,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
61,61,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
62,62,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
63,63,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
64,64,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,000
65,65,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
66,66,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,002
67,67,0,22222222,22222222,22222222,22222222,0,0,004,22222222,22222222,0,0,0,0,00000000,1,22222222,0,003
